item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Data 4645-0.07:44:30.0 ,0.89,29.60,64.00,1.05,29.70,64.80,1.10,29.40,64.80,0.93,29.90,66.30,0.78,29.30,64.50,0.60,29.40,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4646-0.07:44:36.0 ,0.93,29.60,63.90,0.84,29.60,64.70,1.21,29.50,64.80,0.84,29.80,66.00,0.80,29.30,64.50,0.68,29.50,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4647-0.07:44:42.0 ,1.09,29.60,63.80,1.06,29.60,64.60,0.92,29.50,64.90,0.86,29.80,65.90,0.62,29.20,64.50,0.42,29.40,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4648-0.07:44:48.0 ,0.73,29.60,63.80,0.84,29.60,64.70,1.01,29.50,64.80,0.88,29.80,66.00,0.85,29.30,64.50,0.71,29.40,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4649-0.07:44:54.0 ,0.94,29.60,63.80,0.89,29.70,64.70,1.02,29.50,64.80,0.86,29.80,65.90,0.45,29.30,64.50,0.57,29.40,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4650-0.07:45:00.0 ,0.97,29.60,63.90,1.09,29.70,64.70,0.87,29.50,64.90,1.38,29.80,65.90,1.03,29.30,64.50,0.55,29.50,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4651-0.07:45:06.0 ,0.51,29.60,63.80,0.86,29.60,64.70,0.76,29.50,64.90,1.34,29.80,65.90,0.97,29.30,64.60,0.67,29.50,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4652-0.07:45:12.0 ,0.71,29.60,63.70,0.82,29.60,64.70,0.80,29.50,64.90,0.93,29.90,66.00,0.57,29.30,64.60,0.51,29.50,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4653-0.07:45:18.0 ,0.94,29.70,63.80,0.84,29.60,64.70,0.98,29.50,64.90,1.19,29.90,65.90,1.06,29.40,64.60,0.52,29.40,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4654-0.07:45:24.0 ,1.00,29.60,63.80,1.11,29.60,64.70,0.88,29.50,64.80,0.95,29.90,65.90,1.10,29.40,64.50,0.94,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4655-0.07:45:30.0 ,0.99,29.70,63.70,0.76,29.70,64.70,1.01,29.50,64.90,1.21,30.10,66.00,1.00,29.40,64.50,0.80,29.40,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4656-0.07:45:36.0 ,0.55,29.60,63.70,0.92,29.70,64.70,1.18,29.60,64.90,1.48,30.00,66.00,0.76,29.30,64.50,0.73,29.50,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4657-0.07:45:42.0 ,0.81,29.60,63.70,0.73,29.70,64.70,1.03,29.50,64.90,1.19,29.90,65.80,0.86,29.40,64.50,0.67,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4658-0.07:45:48.0 ,1.11,29.60,63.70,0.96,29.70,64.70,1.04,29.50,64.90,1.23,29.90,65.90,0.83,29.40,64.50,0.59,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4659-0.07:45:54.0 ,0.92,29.60,63.70,1.09,29.70,64.70,0.85,29.60,65.00,1.09,29.90,65.90,0.86,29.30,64.50,0.54,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4660-0.07:46:00.0 ,1.04,29.70,63.70,0.75,29.60,64.60,1.22,29.60,65.00,0.86,29.80,65.80,0.81,29.30,64.60,0.62,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4661-0.07:46:06.0 ,0.69,29.60,63.70,1.18,29.70,64.60,0.90,29.50,65.00,1.35,29.80,65.80,0.57,29.30,64.60,0.57,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4662-0.07:46:12.0 ,0.69,29.70,63.70,1.02,29.70,64.60,1.27,29.50,64.90,1.22,29.80,65.80,1.07,29.40,64.50,0.73,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4663-0.07:46:18.0 ,0.66,29.60,63.70,1.11,29.70,64.60,0.95,29.50,64.90,1.06,29.80,65.80,0.91,29.30,64.50,0.64,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4664-0.07:46:24.0 ,0.95,29.70,63.80,0.66,29.60,64.60,1.36,29.50,64.90,1.05,29.80,65.90,1.05,29.30,64.50,0.91,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4665-0.07:46:30.0 ,0.83,29.60,63.80,1.19,29.70,64.60,1.16,29.60,64.90,1.27,29.90,65.80,0.76,29.40,64.60,0.88,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4666-0.07:46:36.0 ,1.01,29.60,63.80,1.21,29.70,64.60,1.17,29.50,64.90,1.10,29.90,65.80,0.90,29.40,64.60,0.93,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4667-0.07:46:42.0 ,1.24,29.70,63.80,0.91,29.70,64.60,1.16,29.50,64.90,1.08,29.90,65.90,1.02,29.40,64.60,0.76,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4668-0.07:46:48.0 ,1.12,29.80,63.80,0.64,29.50,64.70,1.09,29.60,64.90,1.11,29.90,65.90,0.98,29.40,64.60,0.80,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4669-0.07:46:54.0 ,0.93,29.70,63.80,1.19,29.70,64.70,0.79,29.50,64.90,0.98,29.90,65.80,0.80,29.30,64.60,0.72,29.40,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4670-0.07:47:00.0 ,0.79,29.70,63.70,0.99,29.70,64.70,1.24,29.60,65.00,1.16,29.90,65.90,1.15,29.30,64.60,1.02,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4671-0.07:47:06.0 ,1.04,29.70,63.80,0.95,29.70,64.70,0.99,29.50,65.00,1.11,29.90,65.90,0.96,29.30,64.60,0.47,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4672-0.07:47:12.0 ,0.91,29.70,63.70,0.65,29.70,64.70,1.37,29.50,65.00,1.26,29.90,65.80,1.05,29.40,64.60,0.80,29.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4673-0.07:47:18.0 ,0.90,29.70,63.70,0.62,29.60,64.70,1.30,29.50,65.00,1.04,29.90,65.90,1.12,29.40,64.60,0.87,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4674-0.07:47:24.0 ,0.65,29.70,63.70,1.00,29.70,64.70,1.18,29.50,65.00,0.87,29.90,65.90,0.97,29.40,64.60,0.91,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4675-0.07:47:30.0 ,1.08,29.80,63.70,1.23,29.70,64.70,1.14,29.50,65.10,1.04,30.00,65.90,0.81,29.40,64.60,0.62,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4676-0.07:47:36.0 ,0.74,29.70,63.60,1.21,29.70,64.70,1.27,29.60,65.10,1.09,29.90,66.00,1.00,29.40,64.60,1.04,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4677-0.07:47:42.0 ,0.89,29.70,63.70,0.82,29.70,64.80,1.06,29.60,65.10,1.44,30.00,66.00,1.05,29.40,64.60,0.85,29.50,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4678-0.07:47:48.0 ,0.65,29.70,63.70,1.27,29.70,64.80,1.25,29.60,65.10,1.30,29.90,66.00,0.98,29.40,64.70,0.60,29.50,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4679-0.07:47:54.0 ,0.98,29.80,63.70,0.69,29.70,64.80,1.10,29.60,65.10,1.50,29.90,66.00,1.06,29.50,64.70,1.07,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4680-0.07:48:00.0 ,1.00,29.80,63.70,1.15,29.70,64.80,1.06,29.60,65.10,1.25,29.90,66.00,1.16,29.50,64.70,1.06,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4681-0.07:48:06.0 ,0.92,29.70,63.80,0.91,29.70,64.80,1.10,29.60,65.10,1.13,29.90,66.00,0.78,29.40,64.60,0.78,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4682-0.07:48:12.0 ,0.79,29.70,63.80,0.88,29.70,64.80,1.10,29.60,65.10,1.27,30.00,66.10,1.19,29.50,64.60,1.01,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4683-0.07:48:18.0 ,0.89,29.80,63.80,1.10,29.70,64.90,0.92,29.60,65.10,1.22,29.90,66.20,1.11,29.50,64.70,0.70,29.50,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4684-0.07:48:24.0 ,0.84,29.80,63.80,1.07,29.80,64.90,1.21,29.60,65.10,1.47,29.90,66.00,0.74,29.50,64.70,1.03,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4685-0.07:48:30.0 ,0.76,29.70,63.80,1.18,29.70,64.90,1.35,29.60,65.10,1.22,29.90,66.00,0.93,29.50,64.70,0.96,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4686-0.07:48:36.0 ,1.14,29.70,63.70,0.90,29.70,64.90,1.30,29.60,65.20,1.10,29.90,66.10,0.92,29.40,64.70,0.54,29.50,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4687-0.07:48:42.0 ,1.12,29.80,63.80,1.18,29.80,64.90,1.37,29.60,65.10,1.33,30.00,66.10,1.01,29.50,64.60,0.91,29.60,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4688-0.07:48:48.0 ,0.84,29.70,63.80,1.15,29.70,64.90,1.30,29.60,65.10,0.99,29.90,66.10,0.87,29.40,64.70,0.98,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4689-0.07:48:54.0 ,1.14,29.80,63.80,0.83,29.70,64.90,1.16,29.60,65.20,0.88,29.90,66.10,0.99,29.50,64.70,0.97,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4690-0.07:49:00.0 ,1.13,29.80,63.80,1.21,29.70,64.90,1.28,29.60,65.10,1.42,29.90,66.10,0.85,29.50,64.70,0.66,29.70,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4691-0.07:49:06.0 ,0.96,29.70,63.80,1.23,29.70,64.90,1.36,29.60,65.20,1.35,29.90,66.00,1.04,29.50,64.70,0.92,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4692-0.07:49:12.0 ,1.14,29.80,63.80,1.22,29.80,64.90,1.18,29.60,65.20,1.39,29.90,66.10,0.87,29.50,64.80,1.07,29.70,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4693-0.07:49:18.0 ,0.99,29.80,63.80,0.93,29.70,64.90,0.89,29.60,65.20,1.44,29.90,66.10,0.89,29.50,64.70,1.04,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4694-0.07:49:24.0 ,1.05,29.80,63.80,0.86,29.70,64.90,1.23,29.60,65.20,1.07,29.90,66.10,1.02,29.50,64.70,0.84,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4695-0.07:49:30.0 ,1.00,29.80,63.70,0.95,29.70,64.90,1.45,29.60,65.10,0.99,29.90,66.10,1.15,29.50,64.70,0.89,29.70,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4696-0.07:49:36.0 ,0.87,29.70,63.80,0.93,29.80,64.90,1.19,29.60,65.10,1.22,29.90,66.10,0.98,29.40,64.70,0.91,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4697-0.07:49:42.0 ,0.76,29.70,63.80,1.06,29.80,64.90,1.22,29.60,65.10,1.25,29.80,66.10,1.07,29.50,64.70,1.02,29.70,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4698-0.07:49:48.0 ,0.69,29.70,63.80,1.21,29.70,64.90,1.22,29.60,65.10,0.82,29.80,66.10,0.80,29.40,64.80,0.62,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4699-0.07:49:54.0 ,1.08,29.80,63.80,1.14,29.70,64.90,0.87,29.60,65.20,0.96,29.90,66.10,0.93,29.50,64.80,0.81,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4700-0.07:50:00.0 ,0.65,29.70,63.80,1.15,29.70,64.90,0.87,29.60,65.20,1.32,29.90,66.20,1.18,29.40,64.80,0.97,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4701-0.07:50:06.0 ,0.76,29.70,63.90,1.13,29.80,64.90,1.27,29.60,65.10,1.17,30.00,66.20,1.10,29.50,64.80,0.95,29.70,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4702-0.07:50:12.0 ,0.94,29.70,63.90,1.19,29.80,65.00,0.95,29.60,65.20,1.41,30.00,66.20,0.43,29.40,64.80,0.59,29.60,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4703-0.07:50:18.0 ,0.56,29.70,63.90,0.73,29.70,65.00,1.04,29.60,65.20,1.25,30.00,66.20,1.15,29.50,64.80,0.86,29.60,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4704-0.07:50:24.0 ,0.84,29.80,63.90,0.79,29.70,65.00,1.00,29.60,65.30,1.15,30.00,66.20,0.97,29.50,64.80,0.88,29.60,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4705-0.07:50:30.0 ,0.79,29.70,63.90,0.85,29.70,65.00,1.10,29.60,65.30,1.11,30.00,66.10,0.98,29.50,64.80,0.84,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4706-0.07:50:36.0 ,1.05,29.80,63.90,0.96,29.70,65.00,1.01,29.60,65.30,1.06,30.00,66.10,0.94,29.50,64.80,0.97,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4707-0.07:50:42.0 ,0.73,29.80,63.90,1.36,29.80,65.00,1.09,29.60,65.30,1.43,30.00,66.20,0.67,29.50,64.80,0.99,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4708-0.07:50:48.0 ,0.73,29.70,64.00,1.36,29.80,65.00,1.14,29.60,65.30,1.35,30.00,66.10,1.20,29.60,64.80,0.74,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4709-0.07:50:54.0 ,1.21,29.80,64.00,1.13,29.80,65.00,1.34,29.60,65.30,1.18,30.00,66.10,0.99,29.60,64.80,0.99,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4710-0.07:51:00.0 ,0.83,29.80,63.90,0.99,29.80,65.00,1.21,29.70,65.30,1.26,30.00,66.10,0.93,29.50,64.80,0.98,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4711-0.07:51:06.0 ,0.80,29.80,63.90,0.73,29.80,65.00,0.81,29.60,65.30,1.13,30.00,66.10,0.80,29.50,64.80,1.13,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4712-0.07:51:12.0 ,0.70,29.80,64.00,1.21,29.80,65.00,0.90,29.70,65.30,1.31,30.10,66.10,0.63,29.50,64.80,0.73,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4713-0.07:51:18.0 ,1.07,29.80,64.00,0.83,29.80,65.00,0.85,29.70,65.30,0.81,30.00,66.10,1.09,29.60,64.80,0.93,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4714-0.07:51:24.0 ,1.05,29.80,64.00,1.03,29.80,65.00,1.22,29.70,65.30,1.06,29.90,66.10,0.92,29.50,64.80,0.90,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4715-0.07:51:30.0 ,0.68,29.80,64.00,1.55,29.90,65.00,1.20,29.70,65.30,1.48,30.00,66.10,0.99,29.60,64.80,1.16,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4716-0.07:51:36.0 ,0.73,29.80,63.90,1.22,29.90,65.00,1.06,29.70,65.30,1.37,29.90,66.10,0.87,29.60,64.80,1.08,29.60,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4717-0.07:51:42.0 ,1.16,29.80,63.90,1.09,29.80,65.00,1.60,29.70,65.30,1.31,30.00,66.10,0.86,29.60,64.80,0.88,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4718-0.07:51:48.0 ,0.83,29.80,63.90,0.86,29.80,65.00,1.11,29.70,65.30,1.35,30.00,66.20,0.81,29.50,64.80,0.51,29.60,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4719-0.07:51:54.0 ,0.66,29.70,63.90,1.27,29.80,65.00,1.16,29.70,65.30,1.27,30.00,66.20,0.75,29.50,64.80,0.86,29.60,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4720-0.07:52:00.0 ,0.84,29.80,63.90,0.38,29.70,65.00,1.30,29.70,65.30,0.69,29.90,66.10,0.97,29.60,64.80,0.95,29.60,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4721-0.07:52:06.0 ,1.19,29.80,63.90,1.01,29.70,65.00,1.31,29.70,65.30,1.64,29.90,66.20,0.91,29.60,64.80,1.10,29.60,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4722-0.07:52:12.0 ,0.80,29.80,64.00,0.78,29.70,65.00,1.13,29.60,65.30,1.42,30.00,66.20,0.71,29.50,64.80,0.76,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4723-0.07:52:18.0 ,0.76,29.80,64.00,1.10,29.80,65.10,1.24,29.70,65.30,0.94,29.90,66.20,1.07,29.50,64.80,0.41,29.60,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4724-0.07:52:24.0 ,0.60,29.80,64.00,1.03,29.80,65.10,1.03,29.70,65.30,1.46,30.10,66.20,1.25,29.60,64.80,1.02,29.60,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4725-0.07:52:30.0 ,0.89,29.80,64.00,0.79,29.80,65.10,1.61,29.70,65.20,1.25,30.00,66.20,1.30,29.60,64.80,0.89,29.70,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4726-0.07:52:36.0 ,0.90,29.80,64.00,1.11,29.70,65.10,1.50,29.70,65.30,1.08,30.00,66.20,1.13,29.60,64.80,0.89,29.70,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4727-0.07:52:42.0 ,1.18,29.80,64.00,1.24,29.90,65.00,1.05,29.70,65.30,1.49,30.00,66.20,1.16,29.60,64.80,0.94,29.70,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4728-0.07:52:48.0 ,0.84,29.80,64.00,1.32,29.80,65.10,1.44,29.70,65.30,1.29,30.00,66.20,1.13,29.60,64.80,1.06,29.70,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4729-0.07:52:54.0 ,0.53,29.80,64.00,0.94,29.80,65.10,1.52,29.70,65.30,1.36,30.10,66.20,0.71,29.60,64.80,0.82,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4730-0.07:53:00.0 ,1.08,29.80,64.00,1.03,29.80,65.10,1.41,29.70,65.30,1.49,30.10,66.10,0.94,29.60,64.90,0.98,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4731-0.07:53:06.0 ,1.02,29.80,64.00,0.88,29.80,65.10,1.09,29.70,65.30,1.09,30.00,66.10,0.75,29.50,64.90,0.94,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4732-0.07:53:12.0 ,1.13,29.80,64.00,0.79,29.80,65.10,1.32,29.70,65.30,1.45,30.00,66.20,0.92,29.60,64.90,1.06,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4733-0.07:53:18.0 ,0.79,29.80,64.00,0.78,29.70,65.10,1.25,29.70,65.40,1.28,30.00,66.30,1.23,29.60,64.90,1.05,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4734-0.07:53:24.0 ,1.25,29.90,64.00,0.75,29.80,65.10,1.15,29.70,65.40,1.12,30.10,66.30,1.18,29.60,64.90,1.12,29.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4735-0.07:53:30.0 ,0.70,29.80,64.00,1.08,29.80,65.10,1.38,29.70,65.30,1.14,30.00,66.30,1.15,29.60,64.90,0.95,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4736-0.07:53:36.0 ,1.20,29.80,64.00,0.64,29.80,65.10,1.06,29.70,65.40,1.07,30.10,66.30,1.20,29.60,64.90,1.04,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4737-0.07:53:42.0 ,1.33,29.90,64.00,0.79,29.80,65.20,1.18,29.80,65.40,1.34,30.00,66.30,0.97,29.60,64.90,0.87,29.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4738-0.07:53:48.0 ,0.76,29.80,64.00,0.67,29.70,65.20,1.16,29.80,65.40,1.56,30.10,66.20,1.31,29.60,64.90,0.73,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4739-0.07:53:54.0 ,0.84,29.90,64.00,0.88,29.80,65.20,1.00,29.70,65.40,1.44,30.10,66.30,0.91,29.60,64.90,0.86,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4740-0.07:54:00.0 ,1.13,29.80,64.00,0.82,29.80,65.20,1.44,29.70,65.40,0.82,30.10,66.20,1.03,29.60,64.90,0.91,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4741-0.07:54:06.0 ,0.93,29.90,64.00,0.49,29.70,65.20,1.37,29.80,65.40,1.36,30.10,66.20,1.21,29.70,64.90,1.08,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4742-0.07:54:12.0 ,0.80,29.80,64.10,0.64,29.80,65.20,1.44,29.80,65.40,1.45,30.10,66.20,0.81,29.60,64.90,0.78,29.70,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4743-0.07:54:18.0 ,0.82,29.80,64.10,1.15,29.80,65.20,0.94,29.70,65.40,1.56,30.00,66.20,1.26,29.60,64.90,0.81,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4744-0.07:54:24.0 ,1.23,29.90,64.10,1.38,29.80,65.20,0.90,29.70,65.40,1.03,30.00,66.30,1.16,29.60,64.90,0.70,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4745-0.07:54:30.0 ,0.80,29.80,64.10,1.22,29.80,65.20,0.86,29.70,65.40,1.44,30.10,66.30,1.36,29.60,64.90,0.82,29.80,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4746-0.07:54:36.0 ,1.17,29.90,64.10,1.13,29.90,65.20,1.43,29.80,65.40,1.05,30.00,66.30,1.30,29.60,64.90,0.58,29.70,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4747-0.07:54:42.0 ,0.99,29.90,64.10,1.15,29.90,65.20,1.43,29.80,65.40,1.36,30.10,66.30,1.22,29.60,64.90,0.89,29.80,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4748-0.07:54:48.0 ,0.69,29.80,64.10,0.99,29.90,65.20,1.24,29.70,65.40,1.53,30.10,66.40,1.31,29.60,64.90,1.11,29.80,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4749-0.07:54:54.0 ,1.13,29.90,64.10,1.01,29.90,65.20,1.10,29.70,65.40,1.08,30.10,66.40,0.93,29.60,64.90,0.61,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4750-0.07:55:00.0 ,1.01,29.80,64.10,1.00,29.90,65.20,1.34,29.80,65.40,1.26,30.10,66.40,1.04,29.60,64.90,0.72,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4751-0.07:55:06.0 ,1.02,29.80,64.10,0.86,29.90,65.20,1.33,29.70,65.50,1.23,30.00,66.30,0.84,29.60,64.90,0.77,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4752-0.07:55:12.0 ,0.87,29.80,64.20,1.07,29.90,65.20,1.53,29.80,65.60,1.14,29.90,66.30,1.27,29.70,64.90,0.86,29.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
